fid,prow,pcol,grow,prow_pcol_grow,exp,plot.x,sub_plot,exp_plot_subplot,exp_plot,experiment,plot.y,oatName,peaName,pea_type,oat_percent,pea_percent
213,2,28,3,2_28_3,density,75,1,density_75_1,density75,density,75,ND180256,DS Admiral,grain,50,50
214,2,29,1,2_29_1,density,74,3,density_74_3,density74,density,74,ND180256,Icicle Winter Peas,forage,50,100
215,2,29,2,2_29_2,density,74,2,density_74_2,density74,density,74,ND180256,Icicle Winter Peas,forage,50,100
216,2,29,3,2_29_3,density,74,1,density_74_1,density74,density,74,ND180256,Icicle Winter Peas,forage,50,100
217,2,30,1,2_30_1,density,73,3,density_73_3,density73,density,73,IL17-7339,AUSTRIAN FIELD PEAS,forage,100,100
218,2,30,2,2_30_2,density,73,2,density_73_2,density73,density,73,IL17-7339,AUSTRIAN FIELD PEAS,forage,100,100
219,2,30,3,2_30_3,density,73,1,density_73_1,density73,density,73,IL17-7339,AUSTRIAN FIELD PEAS,forage,100,100
220,2,31,1,2_31_1,density,72,3,density_72_3,density72,density,72,IL17-1253,AUSTRIAN FIELD PEAS,na,100,0
221,2,31,2,2_31_2,density,72,2,density_72_2,density72,density,72,IL17-1253,AUSTRIAN FIELD PEAS,na,100,0
222,2,31,3,2_31_3,density,72,1,density_72_1,density72,density,72,IL17-1253,AUSTRIAN FIELD PEAS,na,100,0
223,2,32,1,2_32_1,density,71,3,density_71_3,density71,density,71,OT7100,AUSTRIAN FIELD PEAS,forage,50,100
224,2,32,2,2_32_2,density,71,2,density_71_2,density71,density,71,OT7100,AUSTRIAN FIELD PEAS,forage,50,100
225,2,32,3,2_32_3,density,71,1,density_71_1,density71,density,71,OT7100,AUSTRIAN FIELD PEAS,forage,50,100
226,2,33,1,2_33_1,density,70,3,density_70_3,density70,density,70,ND180256,delta field pea,grain,50,50
227,2,33,2,2_33_2,density,70,2,density_70_2,density70,density,70,ND180256,delta field pea,grain,50,50
228,2,33,3,2_33_3,density,70,1,density_70_1,density70,density,70,ND180256,delta field pea,grain,50,50
229,2,34,1,2_34_1,density,69,3,density_69_3,density69,density,69,IL17-1253,DS Admiral,grain,0,50
230,2,34,2,2_34_2,density,69,2,density_69_2,density69,density,69,IL17-1253,DS Admiral,grain,0,50
231,2,34,3,2_34_3,density,69,1,density_69_1,density69,density,69,IL17-1253,DS Admiral,grain,0,50
232,2,35,1,2_35_1,density,68,3,density_68_3,density68,density,68,IL17-1253,delta field pea,grain,100,50
233,2,35,2,2_35_2,density,68,2,density_68_2,density68,density,68,IL17-1253,delta field pea,grain,100,50
234,2,35,3,2_35_3,density,68,1,density_68_1,density68,density,68,IL17-1253,delta field pea,grain,100,50
235,2,36,1,2_36_1,density,67,3,density_67_3,density67,density,67,IL17-7339,Icicle Winter Peas,forage,100,100
236,2,36,2,2_36_2,density,67,2,density_67_2,density67,density,67,IL17-7339,Icicle Winter Peas,forage,100,100
237,2,36,3,2_36_3,density,67,1,density_67_1,density67,density,67,IL17-7339,Icicle Winter Peas,forage,100,100
238,2,37,1,2_37_1,density,66,3,density_66_3,density66,density,66,OT7100,Icicle Winter Peas,forage,100,100
239,2,37,2,2_37_2,density,66,2,density_66_2,density66,density,66,OT7100,Icicle Winter Peas,forage,100,100
240,2,37,3,2_37_3,density,66,1,density_66_1,density66,density,66,OT7100,Icicle Winter Peas,forage,100,100
241,2,38,1,2_38_1,density,65,3,density_65_3,density65,density,65,IL17-1253,Icicle Winter Peas,forage,0,100
242,2,38,2,2_38_2,density,65,2,density_65_2,density65,density,65,IL17-1253,Icicle Winter Peas,forage,0,100
243,2,38,3,2_38_3,density,65,1,density_65_1,density65,density,65,IL17-1253,Icicle Winter Peas,forage,0,100
244,2,39,1,2_39_1,density,64,3,density_64_3,density64,density,64,IL17-7339,DS Admiral,grain,100,50
245,2,39,2,2_39_2,density,64,2,density_64_2,density64,density,64,IL17-7339,DS Admiral,grain,100,50
246,2,39,3,2_39_3,density,64,1,density_64_1,density64,density,64,IL17-7339,DS Admiral,grain,100,50
247,2,40,1,2_40_1,density,63,3,density_63_3,density63,density,63,OGLE,ND Victory,forage,NA,NA
248,2,40,2,2_40_2,density,63,2,density_63_2,density63,density,63,OGLE,ND Victory,forage,NA,NA
249,2,40,3,2_40_3,density,63,1,density_63_1,density63,density,63,OGLE,ND Victory,forage,NA,NA
250,2,41,1,2_41_1,density,62,3,density_62_3,density62,density,62,IL17-7339,AUSTRIAN FIELD PEAS,forage,50,50
251,2,41,2,2_41_2,density,62,2,density_62_2,density62,density,62,IL17-7339,AUSTRIAN FIELD PEAS,forage,50,50
252,2,41,3,2_41_3,density,62,1,density_62_1,density62,density,62,IL17-7339,AUSTRIAN FIELD PEAS,forage,50,50
253,2,42,1,2_42_1,density,61,3,density_61_3,density61,density,61,OT7100,delta field pea,grain,50,100
254,2,42,2,2_42_2,density,61,2,density_61_2,density61,density,61,OT7100,delta field pea,grain,50,100
255,2,42,3,2_42_3,density,61,1,density_61_1,density61,density,61,OT7100,delta field pea,grain,50,100
256,2,43,1,2_43_1,guard,OG_6,3,guard_OG_6_3,guardOG_6,guard,OG_6,Steuben,na,na,100,na
257,2,43,2,2_43_2,guard,OG_6,2,guard_OG_6_2,guardOG_6,guard,OG_6,Steuben,na,na,100,na
258,2,43,3,2_43_3,guard,OG_6,1,guard_OG_6_1,guardOG_6,guard,OG_6,Steuben,na,na,100,na
259,3,1,1,3_1_1,guard,OG_7,3,guard_OG_7_3,guardOG_7,guard,OG_7,Steuben,na,na,100,na
260,3,1,2,3_1_2,guard,OG_7,2,guard_OG_7_2,guardOG_7,guard,OG_7,Steuben,na,na,100,na
261,3,1,3,3_1_3,guard,OG_7,1,guard_OG_7_1,guardOG_7,guard,OG_7,Steuben,na,na,100,na
262,3,2,1,3_2_1,diversity,41,3,diversity_41_3,diversity41,diversity,41,SD181245,DS Admiral,field,75,75
263,3,2,2,3_2_2,diversity,41,2,diversity_41_2,diversity41,diversity,41,SD181245,DS Admiral,field,75,75
264,3,2,3,3_2_3,diversity,41,1,diversity_41_1,diversity41,diversity,41,SD181245,DS Admiral,field,75,75
265,3,3,1,3_3_1,diversity,42,3,diversity_42_3,diversity42,diversity,42,WI_X10680-3,ND Dawn,field,75,75
266,3,3,2,3_3_2,diversity,42,2,diversity_42_2,diversity42,diversity,42,WI_X10680-3,ND Dawn,field,75,75
267,3,3,3,3_3_3,diversity,42,1,diversity_42_1,diversity42,diversity,42,WI_X10680-3,ND Dawn,field,75,75
268,3,4,1,3_4_1,diversity,43,3,diversity_43_3,diversity43,diversity,43,NEWBURG,Icicle Winter Peas,forage,75,75
269,3,4,2,3_4_2,diversity,43,2,diversity_43_2,diversity43,diversity,43,NEWBURG,Icicle Winter Peas,forage,75,75
270,3,4,3,3_4_3,diversity,43,1,diversity_43_1,diversity43,diversity,43,NEWBURG,Icicle Winter Peas,forage,75,75
271,3,5,1,3_5_1,diversity,44,3,diversity_44_3,diversity44,diversity,44,SPURS,ND Dawn,field,75,75
272,3,5,2,3_5_2,diversity,44,2,diversity_44_2,diversity44,diversity,44,SPURS,ND Dawn,field,75,75
273,3,5,3,3_5_3,diversity,44,1,diversity_44_1,diversity44,diversity,44,SPURS,ND Dawn,field,75,75
274,3,6,1,3_6_1,diversity,45,3,diversity_45_3,diversity45,diversity,45,COLT,Organic 4010,forage,75,75
275,3,6,2,3_6_2,diversity,45,2,diversity_45_2,diversity45,diversity,45,COLT,Organic 4010,forage,75,75
276,3,6,3,3_6_3,diversity,45,1,diversity_45_1,diversity45,diversity,45,COLT,Organic 4010,forage,75,75
277,3,7,1,3_7_1,diversity,46,3,diversity_46_3,diversity46,diversity,46,ND161488,Organic 4010,forage,75,75
278,3,7,2,3_7_2,diversity,46,2,diversity_46_2,diversity46,diversity,46,ND161488,Organic 4010,forage,75,75
279,3,7,3,3_7_3,diversity,46,1,diversity_46_1,diversity46,diversity,46,ND161488,Organic 4010,forage,75,75
280,3,8,1,3_8_1,diversity,47,3,diversity_47_3,diversity47,diversity,47,SD190850,delta field pea,field,75,75
281,3,8,2,3_8_2,diversity,47,2,diversity_47_2,diversity47,diversity,47,SD190850,delta field pea,field,75,75
282,3,8,3,3_8_3,diversity,47,1,diversity_47_1,diversity47,diversity,47,SD190850,delta field pea,field,75,75
283,3,9,1,3_9_1,diversity,48,3,diversity_48_3,diversity48,diversity,48,SADDLE,Maxum,forage,75,75
284,3,9,2,3_9_2,diversity,48,2,diversity_48_2,diversity48,diversity,48,SADDLE,Maxum,forage,75,75
285,3,9,3,3_9_3,diversity,48,1,diversity_48_1,diversity48,diversity,48,SADDLE,Maxum,forage,75,75
286,3,10,1,3_10_1,diversity,49,3,diversity_49_3,diversity49,diversity,49,WARRIOR,DS Admiral,field,75,75
287,3,10,2,3_10_2,diversity,49,2,diversity_49_2,diversity49,diversity,49,WARRIOR,DS Admiral,field,75,75
288,3,10,3,3_10_3,diversity,49,1,diversity_49_1,diversity49,diversity,49,WARRIOR,DS Admiral,field,75,75
289,3,11,1,3_11_1,diversity,50,3,diversity_50_3,diversity50,diversity,50,SD181377,NDP140510Y,field,75,75
290,3,11,2,3_11_2,diversity,50,2,diversity_50_2,diversity50,diversity,50,SD181377,NDP140510Y,field,75,75
291,3,11,3,3_11_3,diversity,50,1,diversity_50_1,diversity50,diversity,50,SD181377,NDP140510Y,field,75,75
292,3,12,1,3_12_1,diversity,51,3,diversity_51_3,diversity51,diversity,51,WI_X10642-3,Organic 4010,forage,75,75
293,3,12,2,3_12_2,diversity,51,2,diversity_51_2,diversity51,diversity,51,WI_X10642-3,Organic 4010,forage,75,75
294,3,12,3,3_12_3,diversity,51,1,diversity_51_1,diversity51,diversity,51,WI_X10642-3,Organic 4010,forage,75,75
295,3,13,1,3_13_1,diversity,52,3,diversity_52_3,diversity52,diversity,52,BUCKSKIN,NDP150412G,field,75,75
296,3,13,2,3_13_2,diversity,52,2,diversity_52_2,diversity52,diversity,52,BUCKSKIN,NDP150412G,field,75,75
297,3,13,3,3_13_3,diversity,52,1,diversity_52_1,diversity52,diversity,52,BUCKSKIN,NDP150412G,field,75,75
298,3,14,1,3_14_1,diversity,53,3,diversity_53_3,diversity53,diversity,53,SADDLE,NDP150231Y,field,75,75
299,3,14,2,3_14_2,diversity,53,2,diversity_53_2,diversity53,diversity,53,SADDLE,NDP150231Y,field,75,75
300,3,14,3,3_14_3,diversity,53,1,diversity_53_1,diversity53,diversity,53,SADDLE,NDP150231Y,field,75,75
301,3,15,1,3_15_1,diversity,54,3,diversity_54_3,diversity54,diversity,54,WI_X10710-7,AUSTRIAN FIELD PEAS,forage,75,75
302,3,15,2,3_15_2,diversity,54,2,diversity_54_2,diversity54,diversity,54,WI_X10710-7,AUSTRIAN FIELD PEAS,forage,75,75
303,3,15,3,3_15_3,diversity,54,1,diversity_54_1,diversity54,diversity,54,WI_X10710-7,AUSTRIAN FIELD PEAS,forage,75,75
304,3,16,1,3_16_1,diversity,55,3,diversity_55_3,diversity55,diversity,55,A10,Maxum,forage,75,75
305,3,16,2,3_16_2,diversity,55,2,diversity_55_2,diversity55,diversity,55,A10,Maxum,forage,75,75
306,3,16,3,3_16_3,diversity,55,1,diversity_55_1,diversity55,diversity,55,A10,Maxum,forage,75,75
307,3,17,1,3_17_1,diversity,56,3,diversity_56_3,diversity56,diversity,56,SABER,delta field pea,field,75,75
308,3,17,2,3_17_2,diversity,56,2,diversity_56_2,diversity56,diversity,56,SABER,delta field pea,field,75,75
309,3,17,3,3_17_3,diversity,56,1,diversity_56_1,diversity56,diversity,56,SABER,delta field pea,field,75,75
310,3,18,1,3_18_1,diversity,57,3,diversity_57_3,diversity57,diversity,57,OT2130,Organic 4010,forage,75,75
311,3,18,2,3_18_2,diversity,57,2,diversity_57_2,diversity57,diversity,57,OT2130,Organic 4010,forage,75,75
312,3,18,3,3_18_3,diversity,57,1,diversity_57_1,diversity57,diversity,57,OT2130,Organic 4010,forage,75,75
313,3,19,1,3_19_1,diversity,58,3,diversity_58_3,diversity58,diversity,58,IL17-7339,DS Admiral,field,75,75
314,3,19,2,3_19_2,diversity,58,2,diversity_58_2,diversity58,diversity,58,IL17-7339,DS Admiral,field,75,75
315,3,19,3,3_19_3,diversity,58,1,diversity_58_1,diversity58,diversity,58,IL17-7339,DS Admiral,field,75,75
316,3,20,1,3_20_1,diversity,59,3,diversity_59_3,diversity59,diversity,59,OGLE,ND Victory,field,75,75
317,3,20,2,3_20_2,diversity,59,2,diversity_59_2,diversity59,diversity,59,OGLE,ND Victory,field,75,75
318,3,20,3,3_20_3,diversity,59,1,diversity_59_1,diversity59,diversity,59,OGLE,ND Victory,field,75,75
319,3,21,1,3_21_1,diversity,60,3,diversity_60_3,diversity60,diversity,60,SD181245,ND Victory,field,75,75
320,3,21,2,3_21_2,diversity,60,2,diversity_60_2,diversity60,diversity,60,SD181245,ND Victory,field,75,75
321,3,21,3,3_21_3,diversity,60,1,diversity_60_1,diversity60,diversity,60,SD181245,ND Victory,field,75,75
322,3,22,1,3_22_1,guard,OG_8,3,guard_OG_8_3,guardOG_8,guard,OG_8,Steuben,na,na,100,na
323,3,22,2,3_22_2,guard,OG_8,2,guard_OG_8_2,guardOG_8,guard,OG_8,Steuben,na,na,100,na
324,3,22,3,3_22_3,guard,OG_8,1,guard_OG_8_1,guardOG_8,guard,OG_8,Steuben,na,na,100,na
325,3,23,1,3_23_1,density,41,3,density_41_3,density41,density,41,ND180256,AUSTRIAN FIELD PEAS,forage,50,100
326,3,23,2,3_23_2,density,41,2,density_41_2,density41,density,41,ND180256,AUSTRIAN FIELD PEAS,forage,50,100
327,3,23,3,3_23_3,density,41,1,density_41_1,density41,density,41,ND180256,AUSTRIAN FIELD PEAS,forage,50,100
328,3,24,1,3_24_1,density,42,3,density_42_3,density42,density,42,IL17-1253,AUSTRIAN FIELD PEAS,forage,50,100
329,3,24,2,3_24_2,density,42,2,density_42_2,density42,density,42,IL17-1253,AUSTRIAN FIELD PEAS,forage,50,100
330,3,24,3,3_24_3,density,42,1,density_42_1,density42,density,42,IL17-1253,AUSTRIAN FIELD PEAS,forage,50,100
331,3,25,1,3_25_1,density,43,3,density_43_3,density43,density,43,IL17-1253,AUSTRIAN FIELD PEAS,forage,0,50
332,3,25,2,3_25_2,density,43,2,density_43_2,density43,density,43,IL17-1253,AUSTRIAN FIELD PEAS,forage,0,50
333,3,25,3,3_25_3,density,43,1,density_43_1,density43,density,43,IL17-1253,AUSTRIAN FIELD PEAS,forage,0,50
334,3,26,1,3_26_1,density,44,3,density_44_3,density44,density,44,IL17-7339,Icicle Winter Peas,forage,100,50
335,3,26,2,3_26_2,density,44,2,density_44_2,density44,density,44,IL17-7339,Icicle Winter Peas,forage,100,50
336,3,26,3,3_26_3,density,44,1,density_44_1,density44,density,44,IL17-7339,Icicle Winter Peas,forage,100,50
337,3,27,1,3_27_1,density,45,3,density_45_3,density45,density,45,IL17-1253,Icicle Winter Peas,forage,100,50
338,3,27,2,3_27_2,density,45,2,density_45_2,density45,density,45,IL17-1253,Icicle Winter Peas,forage,100,50
339,3,27,3,3_27_3,density,45,1,density_45_1,density45,density,45,IL17-1253,Icicle Winter Peas,forage,100,50
340,3,28,1,3_28_1,density,46,3,density_46_3,density46,density,46,IL17-7339,AUSTRIAN FIELD PEAS,forage,50,100
341,3,28,2,3_28_2,density,46,2,density_46_2,density46,density,46,IL17-7339,AUSTRIAN FIELD PEAS,forage,50,100
342,3,28,3,3_28_3,density,46,1,density_46_1,density46,density,46,IL17-7339,AUSTRIAN FIELD PEAS,forage,50,100
343,3,29,1,3_29_1,density,47,3,density_47_3,density47,density,47,OT7100,Icicle Winter Peas,forage,100,50
344,3,29,2,3_29_2,density,47,2,density_47_2,density47,density,47,OT7100,Icicle Winter Peas,forage,100,50
345,3,29,3,3_29_3,density,47,1,density_47_1,density47,density,47,OT7100,Icicle Winter Peas,forage,100,50
346,3,30,1,3_30_1,density,48,3,density_48_3,density48,density,48,OT7100,Icicle Winter Peas,forage,100,100
347,3,30,2,3_30_2,density,48,2,density_48_2,density48,density,48,OT7100,Icicle Winter Peas,forage,100,100
348,3,30,3,3_30_3,density,48,1,density_48_1,density48,density,48,OT7100,Icicle Winter Peas,forage,100,100
349,3,31,1,3_31_1,density,49,3,density_49_3,density49,density,49,IL17-7339,DS Admiral,grain,50,100
350,3,31,2,3_31_2,density,49,2,density_49_2,density49,density,49,IL17-7339,DS Admiral,grain,50,100
351,3,31,3,3_31_3,density,49,1,density_49_1,density49,density,49,IL17-7339,DS Admiral,grain,50,100
352,3,32,1,3_32_1,density,50,3,density_50_3,density50,density,50,ND180256,delta field pea,grain,100,50
353,3,32,2,3_32_2,density,50,2,density_50_2,density50,density,50,ND180256,delta field pea,grain,100,50
354,3,32,3,3_32_3,density,50,1,density_50_1,density50,density,50,ND180256,delta field pea,grain,100,50
355,3,33,1,3_33_1,density,51,3,density_51_3,density51,density,51,IL17-1253,AUSTRIAN FIELD PEAS,na,50,0
356,3,33,2,3_33_2,density,51,2,density_51_2,density51,density,51,IL17-1253,AUSTRIAN FIELD PEAS,na,50,0
357,3,33,3,3_33_3,density,51,1,density_51_1,density51,density,51,IL17-1253,AUSTRIAN FIELD PEAS,na,50,0
358,3,34,1,3_34_1,density,52,3,density_52_3,density52,density,52,IL17-7339,delta field pea,grain,100,50
359,3,34,2,3_34_2,density,52,2,density_52_2,density52,density,52,IL17-7339,delta field pea,grain,100,50
360,3,34,3,3_34_3,density,52,1,density_52_1,density52,density,52,IL17-7339,delta field pea,grain,100,50
361,3,35,1,3_35_1,density,53,3,density_53_3,density53,density,53,OT7100,DS Admiral,grain,50,50
362,3,35,2,3_35_2,density,53,2,density_53_2,density53,density,53,OT7100,DS Admiral,grain,50,50
363,3,35,3,3_35_3,density,53,1,density_53_1,density53,density,53,OT7100,DS Admiral,grain,50,50
364,3,36,1,3_36_1,density,54,3,density_54_3,density54,density,54,ND180256,AUSTRIAN FIELD PEAS,forage,50,50
365,3,36,2,3_36_2,density,54,2,density_54_2,density54,density,54,ND180256,AUSTRIAN FIELD PEAS,forage,50,50
366,3,36,3,3_36_3,density,54,1,density_54_1,density54,density,54,ND180256,AUSTRIAN FIELD PEAS,forage,50,50
367,3,37,1,3_37_1,density,55,3,density_55_3,density55,density,55,IL17-7339,DS Admiral,grain,50,50
368,3,37,2,3_37_2,density,55,2,density_55_2,density55,density,55,IL17-7339,DS Admiral,grain,50,50
369,3,37,3,3_37_3,density,55,1,density_55_1,density55,density,55,IL17-7339,DS Admiral,grain,50,50
370,3,38,1,3_38_1,density,56,3,density_56_3,density56,density,56,OT7100,delta field pea,grain,100,100
371,3,38,2,3_38_2,density,56,2,density_56_2,density56,density,56,OT7100,delta field pea,grain,100,100
372,3,38,3,3_38_3,density,56,1,density_56_1,density56,density,56,OT7100,delta field pea,grain,100,100
373,3,39,1,3_39_1,density,57,3,density_57_3,density57,density,57,ND180256,AUSTRIAN FIELD PEAS,forage,100,100
374,3,39,2,3_39_2,density,57,2,density_57_2,density57,density,57,ND180256,AUSTRIAN FIELD PEAS,forage,100,100
375,3,39,3,3_39_3,density,57,1,density_57_1,density57,density,57,ND180256,AUSTRIAN FIELD PEAS,forage,100,100
376,3,40,1,3_40_1,density,58,3,density_58_3,density58,density,58,IL17-1253,Icicle Winter Peas,forage,50,100
377,3,40,2,3_40_2,density,58,2,density_58_2,density58,density,58,IL17-1253,Icicle Winter Peas,forage,50,100
378,3,40,3,3_40_3,density,58,1,density_58_1,density58,density,58,IL17-1253,Icicle Winter Peas,forage,50,100
379,3,41,1,3_41_1,density,59,3,density_59_3,density59,density,59,IL17-1253,delta field pea,grain,100,50
380,3,41,2,3_41_2,density,59,2,density_59_2,density59,density,59,IL17-1253,delta field pea,grain,100,50
381,3,41,3,3_41_3,density,59,1,density_59_1,density59,density,59,IL17-1253,delta field pea,grain,100,50
382,3,42,1,3_42_1,density,60,3,density_60_3,density60,density,60,ND180256,DS Admiral,grain,100,50
383,3,42,2,3_42_2,density,60,2,density_60_2,density60,density,60,ND180256,DS Admiral,grain,100,50
384,3,42,3,3_42_3,density,60,1,density_60_1,density60,density,60,ND180256,DS Admiral,grain,100,50
385,3,43,1,3_43_1,guard,OG_9,3,guard_OG_9_3,guardOG_9,guard,OG_9,Steuben,na,na,100,na
386,3,43,2,3_43_2,guard,OG_9,2,guard_OG_9_2,guardOG_9,guard,OG_9,Steuben,na,na,100,na
387,3,43,3,3_43_3,guard,OG_9,1,guard_OG_9_1,guardOG_9,guard,OG_9,Steuben,na,na,100,na
388,4,1,1,4_1_1,guard,OG_10,3,guard_OG_10_3,guardOG_10,guard,OG_10,Steuben,na,na,100,na
389,4,1,2,4_1_2,guard,OG_10,2,guard_OG_10_2,guardOG_10,guard,OG_10,Steuben,na,na,100,na
390,4,1,3,4_1_3,guard,OG_10,1,guard_OG_10_1,guardOG_10,guard,OG_10,Steuben,na,na,100,na
391,4,2,1,4_2_1,diversity,40,3,diversity_40_3,diversity40,diversity,40,IL15-5752,AUSTRIAN FIELD PEAS,forage,75,75
392,4,2,2,4_2_2,diversity,40,2,diversity_40_2,diversity40,diversity,40,IL15-5752,AUSTRIAN FIELD PEAS,forage,75,75
393,4,2,3,4_2_3,diversity,40,1,diversity_40_1,diversity40,diversity,40,IL15-5752,AUSTRIAN FIELD PEAS,forage,75,75
394,4,3,1,4_3_1,diversity,39,3,diversity_39_3,diversity39,diversity,39,SD181245,Icicle Winter Peas,forage,75,75
395,4,3,2,4_3_2,diversity,39,2,diversity_39_2,diversity39,diversity,39,SD181245,Icicle Winter Peas,forage,75,75
396,4,3,3,4_3_3,diversity,39,1,diversity_39_1,diversity39,diversity,39,SD181245,Icicle Winter Peas,forage,75,75
397,4,4,1,4_4_1,diversity,38,3,diversity_38_3,diversity38,diversity,38,IL17-5238,AUSTRIAN FIELD PEAS,forage,75,75
398,4,4,2,4_4_2,diversity,38,2,diversity_38_2,diversity38,diversity,38,IL17-5238,AUSTRIAN FIELD PEAS,forage,75,75
399,4,4,3,4_4_3,diversity,38,1,diversity_38_1,diversity38,diversity,38,IL17-5238,AUSTRIAN FIELD PEAS,forage,75,75
400,4,5,1,4_5_1,diversity,37,3,diversity_37_3,diversity37,diversity,37,DEON,Maxum,forage,75,75
401,4,5,2,4_5_2,diversity,37,2,diversity_37_2,diversity37,diversity,37,DEON,Maxum,forage,75,75
402,4,5,3,4_5_3,diversity,37,1,diversity_37_1,diversity37,diversity,37,DEON,Maxum,forage,75,75
403,4,6,1,4_6_1,diversity,36,3,diversity_36_3,diversity36,diversity,36,RUSHMORE,NDP150412G,field,75,75
404,4,6,2,4_6_2,diversity,36,2,diversity_36_2,diversity36,diversity,36,RUSHMORE,NDP150412G,field,75,75
405,4,6,3,4_6_3,diversity,36,1,diversity_36_1,diversity36,diversity,36,RUSHMORE,NDP150412G,field,75,75
406,4,7,1,4_7_1,diversity,35,3,diversity_35_3,diversity35,diversity,35,GOPHER,NDP140510Y,field,75,75
407,4,7,2,4_7_2,diversity,35,2,diversity_35_2,diversity35,diversity,35,GOPHER,NDP140510Y,field,75,75
408,4,7,3,4_7_3,diversity,35,1,diversity_35_1,diversity35,diversity,35,GOPHER,NDP140510Y,field,75,75
409,4,8,1,4_8_1,diversity,34,3,diversity_34_3,diversity34,diversity,34,A25,ND Victory,field,75,75
410,4,8,2,4_8_2,diversity,34,2,diversity_34_2,diversity34,diversity,34,A25,ND Victory,field,75,75
411,4,8,3,4_8_3,diversity,34,1,diversity_34_1,diversity34,diversity,34,A25,ND Victory,field,75,75
412,4,9,1,4_9_1,diversity,33,3,diversity_33_3,diversity33,diversity,33,SD180580,ND Victory,field,75,75
413,4,9,2,4_9_2,diversity,33,2,diversity_33_2,diversity33,diversity,33,SD180580,ND Victory,field,75,75
414,4,9,3,4_9_3,diversity,33,1,diversity_33_1,diversity33,diversity,33,SD180580,ND Victory,field,75,75
415,4,10,1,4_10_1,diversity,32,3,diversity_32_3,diversity32,diversity,32,OT2130,DS Admiral,field,75,75
416,4,10,2,4_10_2,diversity,32,2,diversity_32_2,diversity32,diversity,32,OT2130,DS Admiral,field,75,75
417,4,10,3,4_10_3,diversity,32,1,diversity_32_1,diversity32,diversity,32,OT2130,DS Admiral,field,75,75
418,4,11,1,4_11_1,diversity,31,3,diversity_31_3,diversity31,diversity,31,OGLE,AUSTRIAN FIELD PEAS,forage,75,75
419,4,11,2,4_11_2,diversity,31,2,diversity_31_2,diversity31,diversity,31,OGLE,AUSTRIAN FIELD PEAS,forage,75,75
420,4,11,3,4_11_3,diversity,31,1,diversity_31_1,diversity31,diversity,31,OGLE,AUSTRIAN FIELD PEAS,forage,75,75
421,4,12,1,4_12_1,diversity,30,3,diversity_30_3,diversity30,diversity,30,GOLIATH,Frostmaster Peas,forage,75,75
422,4,12,2,4_12_2,diversity,30,2,diversity_30_2,diversity30,diversity,30,GOLIATH,Frostmaster Peas,forage,75,75
423,4,12,3,4_12_3,diversity,30,1,diversity_30_1,diversity30,diversity,30,GOLIATH,Frostmaster Peas,forage,75,75
424,4,13,1,4_13_1,diversity,29,3,diversity_29_3,diversity29,diversity,29,IL17-7339,NDP150231Y,field,75,75
425,4,13,2,4_13_2,diversity,29,2,diversity_29_2,diversity29,diversity,29,IL17-7339,NDP150231Y,field,75,75
426,4,13,3,4_13_3,diversity,29,1,diversity_29_1,diversity29,diversity,29,IL17-7339,NDP150231Y,field,75,75
